qin,bin,mean,std,count
4,4.567391304347826,1.0683845712457096,0.028034726872562376,30
4,4.693478260869565,1.0582215573970608,0.029678992088997387,28
4,4.819565217391304,1.0647295763959679,0.03256529031537833,32
4,4.945652173913044,1.0502539604353753,0.029100309007151035,57
4,5.071739130434783,1.0314495598361832,0.021487203058821337,54
4,5.197826086956522,1.0179933156602359,0.018435783140596344,92
4,5.323913043478261,1.0063820018220853,0.023509064142950734,126
4,5.45,0.9964114269211972,0.025310777139190305,254
4,5.576086956521739,0.9916668195972133,0.028653461696191804,154
4,5.702173913043478,0.9725275244281367,0.021403129173919896,223
4,5.828260869565218,0.9604680666190643,0.020305723915613978,115
4,5.954347826086957,0.9565514533987161,0.01884696690015899,217
4,6.080434782608696,0.9532864062577322,0.02226587178028823,149
4,6.2065217391304355,0.9456646453458798,0.0231814519044604,237
4,6.3326086956521745,0.9407576869471521,0.022526306772627517,186
4,6.458695652173914,0.9322072053851662,0.022036510797463257,339
4,6.584782608695653,0.9296195632934487,0.018609686082986035,166
4,6.710869565217392,0.91536537586614,0.01600712608904077,87
4,6.836956521739131,0.9111849757130825,0.01370456733947502,26
5,5.098863636363636,1.061189201026535,0.01835468500322321,18
5,5.296590909090909,1.0464138253179134,0.02243700869560847,36
5,5.494318181818182,1.0318999016062034,0.024394031776883707,36
5,5.692045454545454,1.0100064465628242,0.029224320861706603,40
5,5.889772727272727,0.9928201146404603,0.02565215432898433,36
5,6.0875,0.9735705584477261,0.03105418730684768,40
5,6.285227272727273,0.9595919272119388,0.03305597920890837,43
5,6.482954545454545,0.9586707346763094,0.03523743703482709,58
5,6.680681818181818,0.9412006011630981,0.03361761100016585,59
5,6.878409090909091,0.9241484019286444,0.026659155453812804,106
5,7.076136363636364,0.9054548731966353,0.020835201652504052,137
5,7.273863636363636,0.8953052260927942,0.017388798939680962,155
5,7.471590909090909,0.8903398370133025,0.01908389053044152,244
5,7.6693181818181815,0.8868810924734079,0.018027417359919244,140
5,7.867045454545455,0.8725489011810147,0.018957234205948192,170
5,8.064772727272727,0.8702650559625469,0.018944480686174343,190
5,8.2625,0.8640226403911538,0.015131847375079738,188
5,8.460227272727273,0.8523268323130455,0.01719031799467386,163
5,8.657954545454546,0.8408936492317834,0.017060356578337814,255
5,8.855681818181818,0.8427327447065542,0.018213062398039475,253
5,9.053409090909092,0.8372499949226218,0.015460588852699573,129
5,9.251136363636363,0.829051887888263,0.008947995348944013,49
6,6.122826086956522,1.0175862575634722,0.020620425726590317,27
6,6.368478260869566,0.9944599642382099,0.026191485212437266,36
6,6.614130434782609,0.9719537825474346,0.025759124112462745,45
6,6.859782608695652,0.9605345837167689,0.018102515858551996,29
6,7.105434782608696,0.9528284751173878,0.020808465926555834,44
6,7.351086956521739,0.9380778465490848,0.021818136495247668,30
6,7.596739130434782,0.9154962422113008,0.01955699071587416,47
6,7.842391304347826,0.8898867008078704,0.02103379868361405,46
6,8.08804347826087,0.8792662883805454,0.02518313670204386,44
6,8.333695652173914,0.8690400278882929,0.025381948693441982,65
6,8.579347826086956,0.8586744366239175,0.02134875143275753,89
6,8.825,0.8475259161176604,0.01756047071758942,97
6,9.070652173913043,0.8421168735506885,0.020803343337448207,176
6,9.316304347826087,0.8314117661228618,0.014427319975049634,152
6,9.56195652173913,0.8292173502808322,0.013399516546401672,179
6,9.807608695652174,0.8253933413562146,0.016108210739753704,158
6,10.053260869565218,0.8241481493857453,0.015697162065787817,188
6,10.298913043478262,0.8269005060606291,0.01810618650557438,206
6,10.544565217391305,0.8166272593719729,0.014908256558844679,171
6,10.790217391304349,0.8092322938613258,0.022419520182139822,146
6,11.035869565217393,0.8048409487864745,0.02134790946676516,157
6,11.281521739130437,0.7942979179174681,0.013961196370373406,147
6,11.527173913043478,0.7902089023783597,0.008707309345804748,32
7,7.138999999999999,0.9874045432860877,0.022971363447831725,27
7,7.417,0.9674872793617215,0.02278204586869985,36
7,7.695,0.9462495431094828,0.02032370006373293,36
7,7.973,0.9295308748836568,0.014745179745833645,36
7,8.251000000000001,0.9173708019813318,0.01752692760932152,28
7,8.529,0.8987213220851187,0.020264115531749356,45
7,8.806999999999999,0.8870992366041995,0.012109904512535226,36
7,9.085,0.8779782193665442,0.013805300557220117,37
7,9.363,0.8644616662109539,0.012637373300149246,41
7,9.640999999999998,0.850523816365291,0.010172156145337294,37
7,9.919,0.8368533810759519,0.011650217379983077,42
7,10.197,0.8243466300689575,0.013852243624961156,49
7,10.474999999999998,0.8174416519527089,0.01713815526815551,76
7,10.753,0.8101469182097231,0.015065940213726774,88
7,11.030999999999999,0.809332515777129,0.016576032485117163,183
7,11.309000000000001,0.8015477659023909,0.015335667577564934,175
7,11.587,0.7981413507435853,0.018588752438414048,133
7,11.864999999999998,0.79076727292197,0.014651970692399237,216
7,12.143,0.7871456377690325,0.012923559381005947,171
7,12.421,0.7923244805682266,0.012364687490597135,158
7,12.698999999999998,0.7914582249681246,0.014134193393952384,139
7,12.977,0.7863410726782127,0.01270498581031817,128
7,13.254999999999999,0.7770247047744393,0.012496093917664045,133
7,13.532999999999998,0.7801836369759865,0.016182546536548284,50
7,13.811,0.7585747356487637,0.00607003486054532,26
8,8.18452380952381,0.9547730618400372,0.019334657212967253,27
8,8.553571428571427,0.9376421257174535,0.01807708513528869,45
8,8.922619047619047,0.9175487924096443,0.015876278869899826,45
8,9.291666666666668,0.9002670994758003,0.01682779173334114,36
8,9.660714285714285,0.8849047482105776,0.018436170513396466,45
8,10.029761904761905,0.8650177325960619,0.015825420418082395,45
8,10.398809523809526,0.8455430606009076,0.011852486789243053,37
8,10.767857142857142,0.8337034403663294,0.013454313100907982,48
8,11.136904761904763,0.8219547943692573,0.013400232030425806,45
8,11.50595238095238,0.8160336385874124,0.0120991418290489,45
8,11.875,0.8096140095699506,0.013540228670240335,59
